0,N206,-12298.694329729246
1,N321,-12298.694329729246
2,N347,-12298.694329729246
3,N192,-12298.694329729246
4,N347,-12298.694329729246
5,N256,-12298.694329729246
6,N226,-12298.694329729246
7,N354,-12298.694329729246
8,N199,-12298.694329729246
9,N365,-12298.694329729246
10,N234,-12298.694329729246
11,N199,-12298.694329729246
12,N302,-12298.694329729246
13,N321,-12298.694329729246
14,N369,-12298.694329729246
15,N210,-12298.694329729246
16,N345,-12298.694329729246
17,N226,-12298.694329729246
18,N199,-12298.694329729246
19,N328,-12298.694329729246
20,N323,-12298.694329729246
21,N337,-12298.694329729246
22,N196,-12298.694329729246
23,N305,-12298.694329729246
24,N258,-12298.694329729246
25,N253,-12298.694329729246
26,N315,-12298.694329729246
27,N367,-12298.694329729246
28,N195,-12298.694329729246
29,N322,-12298.694329729246
30,N238,-12298.694329729246
31,N375,-12298.694329729246
32,N299,-12298.694329729246
33,N372,-12298.694329729246
34,N259,-12298.694329729246
35,N240,-12298.694329729246
36,N251,-12298.694329729246
37,N296,-12298.694329729246
38,N309,-12298.694329729246
39,N233,-12298.694329729246
40,N378,-12298.694329729246
41,N203,-12297.92599304765
42,N193,-12297.92599304765
43,N225,-12297.92599304765
44,N256,-12297.92599304765
45,N281,-12297.92599304765
46,N379,-12297.92599304765
47,N316,-12297.92599304765
48,N233,-12297.92599304765
49,N193,-12297.92599304765
50,N295,-12297.92599304765
51,N253,-12297.92599304765
52,N308,-12297.92599304765
53,N368,-12297.92599304765
54,N216,-12297.92599304765
55,N274,-12297.92599304765
56,N339,-12297.92599304765
57,N270,-12297.913503612594
58,N287,-12297.913503612594
59,N257,-12297.913503612594
60,N277,-12297.913503612594
61,N313,-12297.913503612594
62,N203,-12297.913503612594
63,N339,-12297.913503612594
64,N374,-12297.913503612594
65,N375,-12297.913503612594
66,N235,-12297.913503612594
67,N250,-12297.913503612594
68,N292,-12297.913503612594
69,N252,-12297.913503612594
70,N316,-12297.913503612594
71,N220,-12297.913503612594
72,N197,-12297.913503612594
73,N327,-12297.913503612594
74,N371,-12297.913503612594
75,N304,-12297.913503612594
76,N315,-12297.913503612594
77,N309,-12297.913503612594
78,N263,-12297.913503612594
79,N322,-12297.913503612594
80,N365,-12297.913503612594
81,N305,-12297.913503612594
82,N316,-12297.913503612594
83,N276,-12297.913503612594
84,N296,-12297.913503612594
85,N274,-12297.913503612594
86,N201,-12297.913503612594
87,N278,-12297.913503612594
88,N360,-12297.913503612594
89,N207,-12297.913503612594
90,N342,-12297.913503612594
91,N224,-12297.913503612594
92,N286,-12297.913503612594
93,N213,-12297.913503612594
94,N308,-12297.913503612594
95,N380,-12283.53809056129
96,N248,-12283.53809056129
97,N256,-12283.53809056129
98,N306,-12283.53809056129
99,N346,-12283.53809056129
100,N369,-12283.53809056129
101,N292,-12283.53809056129
102,N236,-12283.53809056129
103,N252,-12283.53809056129
104,N194,-12283.53809056129
105,N254,-12283.53809056129
106,N245,-12283.53809056129
107,N212,-12283.53809056129
108,N229,-12283.516857053593
109,N238,-12283.516857053593
110,N309,-12283.516857053593
111,N304,-12283.516857053593
112,N282,-12283.516857053593
113,N224,-12283.516857053593
114,N338,-12283.516857053593
115,N328,-12283.516857053593
116,N364,-12283.516857053593
117,N303,-12283.516857053593
118,N325,-12283.516857053593
119,N260,-12283.516857053593
120,N261,-12283.516857053593
121,N351,-12283.40601809281
122,N265,-12283.40601809281
123,N208,-12283.40601809281
124,N250,-12283.40601809281
125,N267,-12283.40601809281
126,N216,-12283.40601809281
127,N239,-12283.40601809281
128,N222,-12283.40601809281
129,N223,-12283.40601809281
130,N203,-12283.40601809281
131,N286,-12283.40601809281
132,N223,-12283.40601809281
133,N259,-12283.40601809281
134,N303,-12283.40601809281
135,N355,-12283.40601809281
136,N222,-12283.40601809281
137,N285,-12283.40601809281
138,N206,-12283.40601809281
139,N355,-12283.40601809281
140,N293,-12283.40601809281
141,N288,-12283.40601809281
142,N269,-12283.40601809281
143,N255,-12283.40601809281
144,N211,-12283.40601809281
145,N299,-12283.40601809281
146,N333,-12283.40601809281
147,N290,-12283.40601809281
148,N296,-12283.40601809281
149,N241,-12283.40601809281
150,N301,-12283.40601809281
151,N358,-12283.40601809281
152,N280,-12283.40601809281
153,N282,-12283.40601809281
154,N233,-12283.40601809281
155,N235,-12283.40601809281
156,N349,-12283.40601809281
157,N316,-12283.40601809281
158,N287,-12283.40601809281
159,N365,-12283.40601809281
160,N369,-12283.40601809281
161,N334,-12283.40601809281
162,N278,-12283.40601809281
163,N264,-12283.40601809281
164,N313,-12283.40601809281
165,N343,-12283.40601809281
166,N270,-12283.40601809281
167,N370,-12283.40601809281
168,N220,-12283.40601809281
169,N326,-12283.40601809281
170,N275,-12283.40601809281
171,N249,-12283.40601809281
172,N291,-12283.40601809281
173,N279,-12283.40601809281
174,N262,-12283.40601809281
175,N238,-12283.40601809281
176,N311,-12283.40601809281
177,N263,-12283.40601809281
178,N268,-12283.40601809281
179,N365,-12283.40601809281
180,N222,-12283.40601809281
181,N203,-12283.40601809281
182,N258,-12283.40601809281
183,N192,-12283.40601809281
