0,N206,-14894.132150914755
1,N321,-14894.132150914755
2,N347,-14894.132150914755
3,N192,-14894.132150914755
4,N347,-14894.132150914755
5,N256,-14894.132150914755
6,N226,-14894.132150914755
7,N354,-14894.132150914755
8,N199,-14894.132150914755
9,N365,-14894.132150914755
10,N234,-14894.132150914755
11,N199,-14894.132150914755
12,N302,-14894.132150914755
13,N321,-14894.132150914755
14,N369,-14894.132150914755
15,N210,-14894.132150914755
16,N345,-14894.132150914755
17,N226,-14894.132150914755
18,N199,-14894.132150914755
19,N328,-14894.132150914755
20,N323,-14894.039842581918
21,N337,-14894.039842581918
22,N196,-14894.039842581918
23,N305,-14894.039842581918
24,N258,-14894.039842581918
25,N253,-14894.039842581918
26,N315,-14894.039842581918
27,N367,-14894.039842581918
28,N195,-14894.039842581918
29,N322,-14894.039842581918
30,N238,-14894.039842581918
31,N375,-14894.039842581918
32,N299,-14894.039842581918
33,N372,-14894.039842581918
34,N259,-14894.039842581918
35,N240,-14894.039842581918
36,N251,-14894.039842581918
37,N296,-14894.039842581918
38,N309,-14894.039842581918
39,N233,-14894.039842581918
40,N378,-14894.039842581918
41,N203,-14894.039842581918
42,N193,-14894.039842581918
43,N225,-14894.039842581918
44,N256,-14894.039842581918
45,N281,-14894.039842581918
46,N379,-14894.039842581918
47,N316,-14894.039842581918
48,N233,-14894.039842581918
49,N193,-14894.039842581918
50,N295,-14894.039842581918
51,N253,-14894.039842581918
52,N308,-14894.039842581918
53,N368,-14894.039842581918
54,N216,-14894.039842581918
55,N274,-14894.039842581918
56,N339,-14894.039842581918
57,N270,-14894.039842581918
58,N287,-14894.039842581918
59,N257,-14894.039842581918
60,N277,-14894.039842581918
61,N313,-14894.039842581918
62,N203,-14894.039842581918
63,N339,-14894.039842581918
64,N374,-14894.039842581918
65,N375,-14894.039842581918
66,N235,-14894.039842581918
67,N250,-14894.039842581918
68,N292,-14894.039842581918
69,N252,-14894.039842581918
70,N316,-14894.039842581918
71,N220,-14894.039842581918
72,N197,-14894.039842581918
73,N327,-14894.039842581918
74,N371,-14894.039842581918
75,N304,-14894.039842581918
76,N315,-14894.039842581918
77,N309,-14894.039842581918
78,N263,-14894.039842581918
79,N322,-14894.039842581918
80,N365,-14894.039842581918
81,N305,-14894.039842581918
82,N316,-14894.039842581918
83,N276,-14894.039842581918
84,N296,-14894.039842581918
85,N274,-14894.039842581918
86,N201,-14894.039842581918
87,N278,-14894.039842581918
88,N360,-14894.039842581918
89,N207,-14894.039842581918
90,N342,-14894.039842581918
91,N224,-14894.039842581918
92,N286,-14894.039842581918
93,N213,-14894.039842581918
94,N308,-14894.039842581918
95,N380,-14878.857048720602
96,N248,-14878.857048720602
97,N256,-14878.857048720602
98,N306,-14878.857048720602
99,N346,-14878.857048720602
100,N369,-14878.857048720602
101,N292,-14878.857048720602
102,N236,-14878.857048720602
103,N252,-14878.857048720602
104,N194,-14878.857048720602
105,N254,-14878.857048720602
106,N245,-14878.857048720602
107,N212,-14878.857048720602
108,N229,-14878.424499785922
109,N238,-14878.424499785922
110,N309,-14878.424499785922
111,N304,-14878.424499785922
112,N282,-14878.424499785922
113,N224,-14878.424499785922
114,N338,-14878.424499785922
115,N328,-14878.424499785922
116,N364,-14878.424499785922
117,N303,-14878.424499785922
118,N325,-14878.424499785922
119,N260,-14878.424499785922
120,N261,-14878.424499785922
121,N351,-14878.36908030553
122,N265,-14878.36908030553
123,N208,-14875.28094416399
124,N250,-14875.28094416399
125,N267,-14875.28094416399
126,N216,-14875.28094416399
127,N239,-14875.28094416399
128,N222,-14875.28094416399
129,N223,-14875.28094416399
130,N203,-14875.28094416399
131,N286,-14875.28094416399
132,N223,-14875.28094416399
133,N259,-14875.28094416399
134,N303,-14875.28094416399
135,N355,-14875.28094416399
136,N222,-14875.28094416399
137,N285,-14875.28094416399
138,N206,-14875.28094416399
139,N355,-14875.28094416399
140,N293,-14875.28094416399
141,N288,-14875.28094416399
142,N269,-14875.28094416399
143,N255,-14875.28094416399
144,N211,-14875.28094416399
145,N299,-14875.28094416399
146,N333,-14875.28094416399
147,N290,-14875.28094416399
148,N296,-14875.28094416399
149,N241,-14875.28094416399
150,N301,-14875.041590241766
